box_id,x,y,w,h,experiment_name,parent_image_id,parent_image_file_name,submitter,location,placement_date,removal_date,pixels_per_inch,parent_image_notes,identified_by,specimen_class,order,family,genus,species
26104,8754,21112,213,212,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26108,5850,20217,328,353,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26109,7582,19953,109,108,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26110,4357,19778,243,289,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26112,4292,19374,119,113,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26113,8302,19371,369,219,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26114,680,19331,154,124,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26120,676,16930,134,128,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26123,6345,16628,127,171,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26126,1774,16432,136,111,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26134,5682,15115,147,109,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26135,1459,14870,235,277,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26137,5311,13823,153,129,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26138,8968,13726,153,150,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26141,921,13114,120,107,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26143,2101,13024,179,232,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26146,5691,12385,150,138,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26147,8061,12337,115,145,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26149,8742,12036,151,235,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26152,3673,11667,109,151,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26156,6003,11115,131,98,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26158,3133,10961,240,353,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26161,4657,10321,136,146,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26162,3572,9768,245,238,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26165,9084,9402,339,359,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26166,1597,8919,176,206,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26168,3175,8869,134,136,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26171,8571,8562,319,277,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26177,6725,5079,342,192,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26178,9247,5053,140,176,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26183,7326,3278,137,142,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26188,9213,2503,200,342,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26189,5085,2390,109,127,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
26194,5481,998,149,156,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
35165,6775,2465,348,317,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
35166,7540,3938,165,311,Agrovoltaic  round 1 2022,273,6_2_3_27-30.6.22.jpg,"Shapir, Ronen",Merom Golan,27/06/2022,30/06/2022,2400,null,,,,,,
